place,rent,lat,lon,year
Carlow,602.51,52.718975,-6.85037,2014
Galway,688.24,53.270668,-9.056791,2014
Carlow Town,614.29,52.836507,-6.934136,2014
"Graiguecullen, Carlow",595.57,52.838119,-6.940512,2014
"Tullow, Carlow",563.99,52.802547,-6.737152,2014
Cavan,436.75,53.989719,-7.363332,2014
Cavan Town,452.1,53.989719,-7.363332,2014
"Bailieborough, Cavan",422.12,53.91561,-6.969294,2014
"Ballyconnell, Cavan",385.3,54.116218,-7.583954,2014
"Blackpool, Cork",777.08,51.914161,-8.473958,2013
"Blackrock, Cork",894.68,51.897,-8.41,2013
"Blarney, Cork",745.89,51.934358,-8.566961,2013
"Carrigaline, Cork",788.81,51.817905,-8.391496,2013
"Carrigtwohill, Cork",721.03,51.91055,-8.259964,2013
"Castlemartyr, Cork",574.35,51.911948,-8.053549,2013
"Charleville, Cork",540.93,52.354908,-8.683177,2013
"Clonakilty, Cork",587.43,51.621506,-8.8887,2013
"Cloyne, Cork",609.03,51.863097,-8.121237,2013
"Cobh, Cork",659.26,51.850336,-8.294286,2013
"Crosshaven, Cork",775.41,51.803466,-8.301606,2013
Carlow,652.51,52.718975,-6.85037,2013
Galway,788.24,53.270668,-9.056791,2013
