place,rent,lat,lon
Carlow,602.51,52.718975,-6.85037
Carlow Town,614.29,52.836507,-6.934136
"Graiguecullen, Carlow",595.57,52.838119,-6.940512
"Tullow, Carlow",563.99,52.802547,-6.737152
Cavan,436.75,53.989719,-7.363332
Cavan Town,452.1,53.989719,-7.363332
"Bailieborough, Cavan",422.12,53.91561,-6.969294
"Ballyconnell, Cavan",385.3,54.116218,-7.583954
"Ballyjamesduff, Cavan",475.91,53.863874,-7.206456
"Belturbet, Cavan",383.78,54.101906,-7.449668
"Cootehill, Cavan",418.23,54.072503,-7.082354
"Kingscourt, Cavan",487.46,53.906874,-6.805223
"Virginia, Cavan",491.86,53.83441,-7.081322
Clare,510.59,43.81947,-84.768628
"Ennis, Clare",508.46,52.847426,-8.988738
"Killaloe, Clare",576.26,52.808886,-8.447515
"Kilrush, Clare",433.96,52.6407,-9.485937
"Newmarket-On-Fergus, Clare",577.62,52.760668,-8.899005
"Shannon, Clare",570.6,52.712471,-8.873068
"Sixmilebridge, Clare",557.11,52.737858,-8.781397
Cork,768.41,51.896892,-8.486316
Cork City,851.36,51.896892,-8.486316
"Ballincollig, Cork",842.23,51.888026,-8.594904
"Ballintemple, Cork",860,51.9,-8.433333
"Ballinure, Cork",0,52.038234,-8.241073
"Bandon, Cork",653.43,51.746124,-8.731817
"Bantry, Cork",529.95,51.680892,-9.448603
"Bishopstown, Cork",960.9,51.877955,-8.532606
"Blackpool, Cork",777.08,51.914161,-8.473958
"Blackrock, Cork",894.68,51.897,-8.41
"Blarney, Cork",745.89,51.934358,-8.566961
"Carrigaline, Cork",788.81,51.817905,-8.391496
"Carrigtwohill, Cork",721.03,51.91055,-8.259964
"Castlemartyr, Cork",574.35,51.911948,-8.053549
"Charleville, Cork",540.93,52.354908,-8.683177
"Clonakilty, Cork",587.43,51.621506,-8.8887
"Cloyne, Cork",609.03,51.863097,-8.121237
"Cobh, Cork",659.26,51.850336,-8.294286
"Crosshaven, Cork",775.41,51.803466,-8.301606
"Douglas, Cork",923.27,51.875007,-8.433634
"Dunmanway, Cork",513.61,51.722257,-9.111809
"Fermoy, Cork",564.68,52.139361,-8.275561
"Frankfield, Cork",975.98,51.867064,-8.464654
"Glanmire, Cork",823.16,51.91771,-8.398169
"Kanturk, Cork",468.69,52.177255,-8.905167
"Kinsale, Cork",781.6,51.70605,-8.522501
"Macroom, Cork",586.63,51.904804,-8.958848
"Mallow, Cork",575.5,52.138976,-8.653916
"Midleton, Cork",670.52,51.913713,-8.172236
"Millstreet, Cork",492.79,52.060132,-9.064712
"Mitchelstown, Cork",539.96,52.266213,-8.269886
"Montenotte, Cork",754.59,51.905833,-8.443056
"Passage West, Cork",717.01,51.872063,-8.336213
